type,input_type,time_ms,key
scroll,scroll_down,50056.232,dy=-1
scroll,scroll_down,50091.224,dy=-1
scroll,scroll_down,50127.058,dy=-1
scroll,scroll_down,50173.410,dy=-1
scroll,scroll_down,50223.061,dy=-1
click,left_click,54424.624,left
click,left_click,54424.882,left
click,left_click,54624.493,left
click,left_click,54625.093,left
click,left_click,57023.858,left
click,left_click,57053.091,left
scroll,scroll_up,61271.459,dy=1
scroll,scroll_up,61292.153,dy=1
scroll,scroll_up,61308.257,dy=1
scroll,scroll_up,62038.232,dy=1
scroll,scroll_up,62058.738,dy=1
scroll,scroll_up,62074.042,dy=1
scroll,scroll_up,62092.021,dy=1
click,left_click,67924.482,left
click,left_click,68156.679,left
click,left_click,70005.929,left
click,left_click,70105.624,left
click,left_click,70172.105,left
click,left_click,70257.698,left
click,left_click,71573.000,left
click,left_click,71657.192,left
click,left_click,72525.139,left
click,left_click,72627.382,left
click,left_click,73505.455,left
click,left_click,73606.791,left
keydown,other,74915.024,Key.cmd
keyup,other,75041.798,k
keydown,other,75164.719,m
keyup,other,75239.499,m
keydown,other,75309.246,a
keyup,other,75349.280,e
keydown,other,75380.943,s
keyup,other,75412.931,a
keydown,other,75465.049,u
keyup,other,75484.939,u
keydown,other,75852.398,r
keyup,other,75956.121,r
keydown,other,76075.487,n
keyup,other,76147.705,n
keydown,other,76836.133,Key.enter
keyup,other,76914.764,Key.enter
scroll,scroll_up,79590.782,dy=1
scroll,scroll_up,79619.469,dy=1
scroll,scroll_up,79621.063,dy=1
scroll,scroll_up,79641.638,dy=1
scroll,scroll_up,79656.522,dy=1
keydown,other,80879.257,Key.cmd
keyup,other,81051.788,k
keydown,other,81421.741,m
keyup,other,81463.673,m
keydown,other,81558.419,o
keyup,other,81630.893,o
keydown,space,81687.127,Key.space
keyup,space,81755.043,Key.space
keydown,other,81851.702,t
keyup,other,81939.575,t
keydown,space,82012.408,Key.space
keyup,space,82084.795,Key.space
keydown,other,82106.910,p
keyup,other,82176.895,p
keydown,other,82192.137,r
keyup,other,82280.194,r
keydown,other,82284.750,o
keyup,other,82328.173,o
keydown,other,82459.367,Key.enter
keyup,other,82551.389,Key.enter
keydown,other,82981.991,m
keyup,other,83057.585,m
keydown,other,83098.118,a
keyup,other,83117.859,e
keydown,other,83193.930,s
keyup,other,83198.056,a
keydown,other,83298.048,u
keyup,other,83323.346,s
keydown,other,83421.636,r
keyup,other,83533.584,r
keydown,other,83639.352,n
keyup,other,83723.375,n
keydown,other,84445.845,Key.enter
keyup,other,84524.841,Key.enter
scroll,scroll_up,85271.875,dy=1
scroll,scroll_up,85289.624,dy=1
